borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,cross_street_name,timestamp,latitude,longitude,location,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_persons_injured,number_of_persons_killed,off_street_name,on_street_name,unique_key,vehicle_type_code1,vehicle_type_code2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,zip_code
,Turning Improperly,Unspecified,,,,BOWERY                          ,2013-10-26T13:50:00,,,,0,0,0,0,0,0,0,0,,BROOME STREET                   ,8637,PASSENGER VEHICLE,VAN,,,,
,Alcohol Involvement,Unspecified,Unspecified,Unspecified,,JUNCTION BOULEVARD              ,2013-11-01T18:00:00,,,,0,0,1,0,0,0,1,0,,HORACE HARDING EXPRESSWAY       ,258412,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
,Turning Improperly,Unspecified,,,,BRUCKNER BOULEVARD              ,2013-11-01T16:18:00,,,,0,0,0,0,0,0,0,0,,WESTCHESTER AVENUE              ,91371,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Outside Car Distraction,Unspecified,Unspecified,,,,2013-10-18T19:00:00,,,,0,0,1,0,0,0,1,0,,,2897621,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
,Unspecified,Unspecified,,,,,2013-10-27T01:00:00,,,,0,0,0,0,0,0,0,0,,,2849196,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,Unspecified,,,,2013-11-03T11:30:00,,,,0,0,0,0,0,0,0,0,,,2965493,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
,Unspecified,Unspecified,,,,1 AVENUE                        ,2013-10-12T00:01:00,,,,0,0,0,0,0,0,0,0,,EAST 125 STREET                 ,61530,UNKNOWN,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,141 STREET                      ,2013-10-10T20:15:00,,,,0,0,0,0,0,0,0,0,,MAIN STREET                     ,252528,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,Unspecified,,,JAMAICA AVENUE                  ,2013-09-26T11:15:00,,,,1,0,0,0,0,0,1,0,,94 STREET                       ,207257,PASSENGER VEHICLE,PASSENGER VEHICLE,BICYCLE,,,
,Traffic Control Disregarded,Unspecified,,,,,2013-09-20T18:29:00,,,,0,0,2,0,0,0,2,0,31 BLEEKER STREET                       ,,291460,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,4 AVENUE                        ,2013-09-21T12:00:00,,,,0,0,0,0,0,0,0,0,,65 STREET                       ,143565,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Backing Unsafely,Unspecified,,,,70 ROAD                         ,2013-09-29T21:00:00,,,,0,0,0,0,0,0,0,0,,QUEENS BOULEVARD                ,266923,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,SHORE PARKWAY                   ,2013-09-20T20:15:00,,,,0,0,0,0,0,0,0,0,,CROSS BAY BOULEVARD             ,231635,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,,,,,HUTCHINSON RIVER PARKWAY EAST   ,2013-09-16T15:10:00,,,,0,0,0,0,1,0,1,0,,WESTCHESTER AVENUE              ,91138,SPORT UTILITY / STATION WAGON,,,,,
,Unspecified,Unspecified,,,,,2013-09-15T00:35:00,,,,0,0,0,0,0,0,0,0,,,3023803,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2013-08-27T10:30:00,,,,0,0,0,0,0,0,0,0,,,3056593,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,LIBERTY AVENUE                  ,2013-08-29T08:00:00,,,,0,0,0,0,0,0,0,0,,120 STREET                      ,231441,VAN,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,VANDAM STREET                   ,2013-08-23T08:10:00,,,,0,0,0,0,0,0,0,0,,QUEENS BOULEVARD                ,243230,SPORT UTILITY / STATION WAGON,VAN,,,,
,Unspecified,Unspecified,,,,SEGUINE AVENUE                  ,2013-08-28T18:17:00,,,,0,0,0,0,0,0,0,0,,SEGUINE LOOP                    ,303198,SPORT UTILITY / STATION WAGON,UNKNOWN,,,,
,Unspecified,Unspecified,,,,,2013-09-01T16:15:00,,,,0,0,0,0,0,0,0,0,PARKING LOT FMP 111 ST @ 53 AVE         ,,257968,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,RALPH AVENUE                    ,2013-09-04T14:05:00,,,,0,0,0,0,0,0,0,0,,CHURCH AVENUE                   ,139095,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Fatigued/Drowsy,Unspecified,,,,,2013-08-13T01:21:00,,,,0,0,0,0,0,0,0,0,,,2849052,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Lost Consciousness,Unspecified,,,,CLOVE ROAD                      ,2013-09-07T16:30:00,,,,0,0,0,0,0,0,0,0,,NARROWS ROAD NORTH              ,289228,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2013-08-10T20:30:00,,,,0,0,0,0,0,0,0,0,,,2957725,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2013-06-05T08:30:00,,,,0,0,0,0,0,0,0,0,,,3122589,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2013-05-15T14:24:00,,,,0,0,0,0,0,0,0,0,,,2879424,UNKNOWN,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,EAST HOUSTON STREET             ,2013-08-06T20:11:00,,,,0,0,0,0,0,0,0,0,,FDR DRIVE EXIT NB               ,15660,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,HORACE HARDING EXPRESSWAY       ,2013-07-16T23:40:00,,,,0,0,0,0,0,0,0,0,,163 STREET                      ,251340,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,,2013-07-21T17:00:00,,,,0,0,0,0,0,0,0,0,,,3056491,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,CROSS ISLAND PARKWAY            ,2013-07-15T22:40:00,,,,0,0,0,0,0,0,0,0,,LINDEN BOULEVARD                ,224483,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,,2013-07-20T11:45:00,,,,0,0,0,0,0,0,0,0,W 234 ST & BROADWAY ( PARKING LOT )     ,,108514,SPORT UTILITY / STATION WAGON,UNKNOWN,,,,
,Headlights Defective,Unspecified,,,,,2013-06-16T01:30:00,,,,0,0,0,0,0,0,0,0,7602 FLATLANDS AVE (DRIVE THROUGH)      ,,146243,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,PELHAM PARKWAY                  ,2013-07-05T19:20:00,,,,0,0,0,0,0,0,0,0,,WHITE PLAINS ROAD               ,105248,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Backing Unsafely,Unspecified,,,,EAST 6 STREET                   ,2013-06-17T17:30:00,,,,0,0,0,0,0,0,0,0,,COOPER SQUARE                   ,15429,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,HAMILTON AVENUE                 ,2013-06-28T17:40:00,,,,0,0,0,0,0,0,0,0,,CLINTON STREET                  ,171813,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2013-06-20T13:40:00,,,,0,0,0,0,0,0,0,0,LOADING DOCK 109-09 110 AVE             ,,211125,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,PARSONS BOULEVARD               ,2013-06-13T12:20:00,,,,0,0,0,0,0,0,0,0,,HORACE HARDING EXPRESSWAY       ,236071,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Fatigued/Drowsy,Unspecified,,,,,2013-05-25T12:15:00,,,,0,0,0,0,0,0,0,0,,,2889005,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Traffic Control Disregarded,Unspecified,,,,,2013-05-28T00:45:00,,,,0,0,0,0,0,0,0,0,,,2897326,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,,,,CLOVE ROAD                      ,2013-06-02T17:04:00,,,,0,0,0,0,0,0,0,0,,NARROWS ROAD NORTH              ,288378,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Turning Improperly,Unspecified,,,,,2013-06-02T20:00:00,,,,0,0,0,0,0,0,0,0,,,2913192,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,23 AVENUE                       ,2013-06-01T18:00:00,,,,0,0,0,0,0,0,0,0,,215 STREET                      ,250582,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Lost Consciousness,Lost Consciousness,,,,,2013-05-13T14:00:00,,,,0,0,0,0,0,0,0,0,,,3045434,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,,
,Driver Inattention/Distraction,Unspecified,,,,,2013-03-03T21:20:00,,,,0,0,0,0,0,0,0,0,,,2897192,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,,
,Unspecified,Unspecified,Unspecified,,,KELLY STREET                    ,2013-05-11T05:00:00,,,,0,0,0,0,0,0,0,0,,INTERVALE AVENUE                ,77399,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
,Unspecified,Unspecified,,,,BRYANT AVENUE                   ,2013-04-18T18:01:00,,,,0,0,0,0,0,0,0,0,,BRUCKNER BOULEVARD              ,77318,BUS,PASSENGER VEHICLE,,,,
,Failure to Keep Right,Unspecified,,,,,2013-04-25T15:29:00,,,,0,0,0,0,0,0,0,0,,,3122441,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,FLUSHING AVENUE                 ,2013-04-16T15:55:00,,,,0,0,0,0,0,0,0,0,,METRO AVENUE                    ,216052,VAN,PASSENGER VEHICLE,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2013-04-28T16:10:00,,,,0,0,0,0,0,0,0,0,I/S/O 300 E 161 ST YANKEE STA GARAGE    ,,86844,UNKNOWN,UNKNOWN,,,,
,Unspecified,Unspecified,,,,BORDEN AVENUE                   ,2013-03-18T00:30:00,,,,0,0,2,0,0,0,2,0,,MAURICE AVENUE                  ,215731,PASSENGER VEHICLE,PICK-UP TRUCK,,,,
,Unspecified,Unspecified,Unspecified,,,HAMILTON AVENUE                 ,2013-03-22T21:00:00,,,,0,0,0,0,0,0,0,0,,HUNTINGTON STREET               ,171486,PASSENGER VEHICLE,UNKNOWN,PASSENGER VEHICLE,,,
,Driver Inexperience,,,,,,2013-03-18T19:45:00,,,,0,0,1,0,0,0,1,0,,,3033758,PASSENGER VEHICLE,,,,,
,Unspecified,Unspecified,,,,HYLAN BOULEVARD                 ,2013-03-24T22:15:00,,,,0,0,0,0,0,0,0,0,,NARROWS ROAD NORTH              ,287575,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,CROSS BRONX EXPRESSWAY          ,2013-03-06T20:21:00,,,,0,0,0,0,0,0,0,0,,CASTLE HILL AVENUE              ,82492,SPORT UTILITY / STATION WAGON,UNKNOWN,,,,
,Fatigued/Drowsy,Unspecified,,,,HORACE HARDING EXPRESSWAY       ,2013-02-27T18:00:00,,,,0,0,0,0,0,0,0,0,,MAIN STREET                     ,235119,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,,,,,ERSKINE STREET                  ,2013-02-28T19:56:00,,,,0,0,0,0,1,0,1,0,,VANDALIA AVENUE                 ,166158,PASSENGER VEHICLE,,,,,
,Failure to Yield Right-of-Way,Unspecified,,,,BORDEN AVENUE                   ,2013-03-05T17:30:00,,,,0,0,0,0,0,0,0,0,,VANDAM STREET                   ,241364,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Prescription Medication,Unspecified,,,,WILLIAMSBRIDGE ROAD             ,2013-02-14T00:10:00,,,,0,0,0,0,0,0,0,0,,PELHAM PARKWAY SOUTH            ,104292,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,,,,,THROGS NECK EXPRESSWAY          ,2013-02-14T23:10:00,,,,0,0,0,0,1,0,1,0,,PENNYFIELD AVENUE               ,89823,PASSENGER VEHICLE,,,,,
,Backing Unsafely,Unspecified,,,,,2013-02-05T13:10:00,,,,0,0,0,0,0,0,0,0,I/S/O I BEARD STREET (IKEA'S PKNG LOT). ,,171367,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,VAN DAM STREET                  ,2013-02-03T11:43:00,,,,0,0,0,0,0,0,0,0,,QUEENS BOULEVARD                ,241053,TAXI,PASSENGER VEHICLE,,,,
,Pavement Slippery,Pavement Slippery,Unspecified,,,QUENTIN ROAD                    ,2013-02-08T21:15:00,,,,0,0,0,0,0,0,0,0,,NOSTRAND AVENUE                 ,118205,UNKNOWN,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
,Unspecified,Unspecified,,,,GRAND ARMY PLAZA                ,2013-01-11T18:44:00,,,,0,0,0,0,0,0,0,0,,FLATBUSH AVENUE                 ,176868,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,NORTH CONDUIT AVENUE            ,2012-12-13T09:50:00,,,,0,0,0,0,0,0,0,0,,149 AVENUE                      ,229311,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,Unspecified,,,BRUCKNER BOULEVARD              ,2012-12-19T12:15:00,,,,0,0,0,0,0,0,0,0,,EAST TREMONT AVENUE             ,89482,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
,Unspecified,Unspecified,,,,4 AVENUE                        ,2012-12-20T16:15:00,,,,0,0,0,0,0,0,0,0,,65 STREET                       ,141866,SMALL COM VEH(4 TIRES) ,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2012-12-02T14:23:00,,,,0,0,1,0,0,0,1,0,,,2918855,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Passenger Distraction,,,,,SHORE PARKWAY                   ,2012-11-25T21:30:00,,,,0,0,0,0,0,0,0,0,,BAY PARKWAY                     ,122433,SPORT UTILITY / STATION WAGON,,,,,
,Unspecified,,,,,CROSS BAY BOULEVARD             ,2012-11-27T07:25:00,,,,0,0,0,0,0,0,0,0,,SOUTH CONDUIT AVENUE            ,229179,PASSENGER VEHICLE,,,,,
,Unspecified,Unspecified,,,,58 AVENUE                       ,2012-11-28T17:15:00,,,,0,0,0,0,0,0,0,0,,BROWN PLACE                     ,214681,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,MADISON AVENUE                  ,2012-12-06T16:15:00,,,,0,0,1,0,0,0,1,0,,EAST 135 STREET                 ,60281,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,,
,Fatigued/Drowsy,Unspecified,,,,QUEENS PLAZA SOUTH              ,2012-11-07T19:00:00,,,,0,0,0,0,0,0,0,0,,21 STREET                       ,240074,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,,
,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,ELDER AVENUE                    ,2012-10-11T10:30:00,,,,0,0,0,0,0,0,0,0,,FRANKLIN AVENUE                 ,247162,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,,2012-11-06T21:45:00,,,,0,0,0,0,0,0,0,0,,,2864282,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,YELLOWSTONE BOULEVARD           ,2012-09-11T17:25:00,,,,0,0,0,0,0,0,0,0,,WOODHAVEN BOULEVARD             ,264537,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,MYRTLE AVENUE                   ,2012-09-29T12:51:00,,,,0,0,0,0,0,0,0,0,,CARLTON AVENUE                  ,191924,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,,,,,JEFFERSON STREET                ,2012-09-25T10:30:00,,,,0,0,0,0,0,0,0,0,,EVERGREEN AVENUE                ,184930,OTHER,,,,,
,Fatigued/Drowsy,Unspecified,,,,EAST 169 STREET                 ,2012-10-01T08:35:00,,,,0,0,0,0,0,0,0,0,,BOSTON ROAD                     ,78937,LIVERY VEHICLE,LIVERY VEHICLE,,,,
,Unspecified,Unspecified,,,,EAST NEW YORK AVENUE            ,2012-08-13T16:00:00,,,,0,0,0,0,0,0,0,0,,UTICA AVENUE                    ,135470,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,Unspecified,,,,2012-08-29T21:30:00,,,,0,0,0,0,0,0,0,0,PARKING LOT 1780 EAST GUNHILL ROAD      ,,103110,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
,Unspecified,Unspecified,,,,88 STREET                       ,2012-08-19T20:30:00,,,,0,0,1,0,0,0,1,0,,PITKIN AVENUE                   ,228343,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,38 AVENUE                       ,2012-08-25T23:10:00,,,,0,0,0,0,0,0,0,0,,CLEARVIEW EXPRESSWAY EAST SR    ,259792,PASSENGER VEHICLE,UNKNOWN,,,,
,Unspecified,Unspecified,,,,HOOPER STREET                   ,2012-08-15T05:50:00,,,,1,0,0,0,0,0,1,0,,BROADWAY                        ,194140,PASSENGER VEHICLE,BICYCLE,,,,
,Lost Consciousness,Lost Consciousness,,,,,2012-08-10T12:15:00,,,,0,0,0,0,0,0,0,0,,,3055708,SMALL COM VEH(4 TIRES) ,OTHER,,,,
,Unspecified,Unspecified,,,,150 STREET                      ,2012-07-11T11:30:00,,,,0,0,0,0,0,0,0,0,,41 AVENUE                       ,245717,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,Unspecified,,,GRENFELL STREET                 ,2012-07-29T13:00:00,,,,0,0,0,0,0,0,0,0,,82 AVENUE                       ,203938,PASSENGER VEHICLE,PASSENGER VEHICLE,UNKNOWN,,,
,Failure to Yield Right-of-Way,Unspecified,,,,,2012-08-03T17:20:00,,,,0,0,0,0,0,0,0,0,,,2937624,UNKNOWN,PASSENGER VEHICLE,,,,
,Prescription Medication,Unspecified,,,,GRAND CENTRAL PARKWAY           ,2012-07-20T12:36:00,,,,0,0,0,0,0,0,0,0,,94 STREET                       ,279799,LIVERY VEHICLE,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,NEW LOTS AVENUE                 ,2012-07-10T17:14:00,,,,0,0,0,0,0,0,0,0,,ASHFORD STREET                  ,163542,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,
,Turning Improperly,Unspecified,,,,,2012-07-11T18:00:00,,,,0,0,0,0,0,0,0,0,P/L 270-01 276 AVENUE                   ,,219556,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Unspecified,Unspecified,,,,SHORE PARKWAY                   ,2012-07-05T21:12:00,,,,0,0,0,0,0,0,0,0,,SHEEPSHEAD BAY ROAD             ,116312,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,
,Following Too Closely,Unspecified,,,,KNAPP STREET,2022-07-13T20:51:00,,,,0,0,0,0,0,0,0,0,,SHORE PARKWAY,4545974,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Following Too Closely,Unspecified,Unspecified,Unspecified,,,2021-05-19T09:10:00,,,,0,0,0,0,0,0,0,0,,VERRAZANO BRIDGE UPPER,4420841,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
,Unspecified,Unspecified,,,,STRATFORD AVENUE,2021-05-24T17:46:00,,,,0,0,1,0,0,0,1,0,,BRUCKNER EXPRESSWAY,4420199,Sedan,Sedan,,,,
,Driver Inattention/Distraction,,,,,,2021-03-11T23:49:00,,,,0,0,0,0,0,0,0,0,,QUEENSBORO BRIDGE LOWER         ,4398136,Station Wagon/Sport Utility Vehicle,,,,,
,Unsafe Lane Changing,Unspecified,,,,,2021-03-03T10:55:00,,,,0,0,0,0,0,0,0,0,,TRIBOROUGH BRIDGE               ,4396170,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Other Vehicular,Unspecified,,,,PARK AVENUE,2021-04-05T13:05:00,,,,0,0,1,0,0,0,1,0,,CLINTON AVENUE                  ,4404750,Station Wagon/Sport Utility Vehicle,Box Truck,,,,
,Driver Inattention/Distraction,Unspecified,,,,clarke ave,2021-02-08T18:45:00,,,,0,0,1,0,0,0,1,0,,Athur kill road                 ,4390382,Sedan,Sedan,,,,
,Reaction to Uninvolved Vehicle,,,,,99 AVENUE,2020-10-24T05:05:00,,,,0,0,0,0,0,0,0,0,,99 avenue                       ,4361317,Sedan,,,,,
,Following Too Closely,Following Too Closely,Unspecified,,,,2020-10-17T20:33:00,,,,0,0,0,0,0,0,0,0,,BRONX WHITESTONE BRIDGE         ,4359337,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,,
,Driver Inattention/Distraction,Unspecified,,,,,2020-10-14T11:00:00,,,,0,0,0,0,0,0,0,0,,CROSS BRONX EXPY                ,4358079,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Passing or Lane Usage Improper,Unspecified,,,,COLLEGE POINT BOULEVARD,2021-10-29T16:45:00,,,,0,0,0,0,0,0,0,0,,WHITESTONE EXPRESSWAY,4472309,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Traffic Control Disregarded,Unspecified,,,,141 STREET,2020-09-03T03:40:00,,,,0,0,1,0,0,0,1,0,,UNION TURNPIKE                  ,4344448,Station Wagon/Sport Utility Vehicle,,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2020-08-22T18:15:00,,,,0,0,0,0,0,0,0,0,,BROOKLYN QUEENS EXPRESSWAY RAMP ,4341120,Sedan,,,,,
,Passing or Lane Usage Improper,Unspecified,,,,,2020-08-22T22:30:00,,,,0,0,1,0,0,0,1,0,,QUEENSBORO BRIDGE UPPER ROADWAY ,4340978,Sedan,Motorcycle,,,,
,Driver Inattention/Distraction,,,,,MAJOR DEEGAN EXPRESSWAY,2020-07-12T07:00:00,,,,0,0,0,0,0,0,0,0,,WILLIS AVENUE BRIDGE APPROACH   ,4327865,Sedan,,,,,
,Driver Inattention/Distraction,Unspecified,Unspecified,,,,2020-07-28T16:10:00,,,,0,0,0,0,0,0,0,0,,GOWANUS RAMP                    ,4333494,Sedan,Sedan,Sedan,,,
,Unsafe Lane Changing,Unspecified,Unspecified,,,,2020-05-07T16:29:00,,,,0,0,2,0,0,0,2,0,,BROOKLYN BRIDGE                 ,4312297,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,,
,Turning Improperly,Unspecified,,,,,2020-05-15T08:20:00,,,,0,0,0,0,0,0,0,0,,PROSPECT EXPRESSWAY EAST        ,4313782,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,Unsafe Lane Changing,Unspecified,,,,,2020-05-22T16:00:00,,,,0,0,0,0,0,0,0,0,,NEW ENGLAND THRUWAY             ,4315183,Chassis Cab,Sedan,,,,
,Following Too Closely,Unspecified,,,,84 STREET,2021-10-02T21:40:00,,,,0,0,1,0,0,0,1,0,,SOUTH CONDUIT AVENUE,4463699,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,,,,,,2020-03-06T08:15:00,,,,0,0,0,0,0,0,0,0,,VERRAZANO BRIDGE LOWER          ,4306464,Sedan,Sedan,,,,
,Unspecified,,,,,Greenpoint avenue,2020-02-27T17:30:00,,,,0,0,0,0,0,0,0,0,,MC GUINNESS BLVD SOUTH          ,4296074,Sedan,,,,,
,Driver Inattention/Distraction,Unspecified,,,,ASTORIA BOULEVARD,2019-12-17T19:15:00,,,,0,0,0,0,0,0,0,0,,49 STREET                       ,4260099,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Unspecified,Unspecified,,,,PARSONS BOULEVARD,2019-12-31T17:00:00,,,,0,0,0,0,0,0,0,0,,GRAND CENTRAL PARKWAY           ,4267532,Sedan,Sedan,,,,
,Driver Inattention/Distraction,,,,,69 Place,2019-12-13T00:00:00,,,,0,0,0,0,0,0,0,0,,Queens Midtown Expressway       ,4257990,Sedan,,,,,
,Following Too Closely,Unspecified,,,,,2019-11-21T00:40:00,,,,0,0,0,0,0,0,0,0,,MANHATTAN BR LOWER              ,4248020,Taxi,Sedan,,,,
,Unspecified,Unspecified,,,,,2021-12-11T04:39:00,,,,0,0,1,0,0,0,1,0,,QUEENSBORO BRIDGE UPPER ROADWAY,4486665,Station Wagon/Sport Utility Vehicle,PK,,,,
,Unspecified,,,,,,2019-10-17T03:00:00,,,,0,0,0,0,1,0,1,0,,WILLIAMSBURG BRIDGE OUTER ROADWA,4226560,Sedan,,,,,
,Failure to Yield Right-of-Way,,,,,HORACE HARDING EXPRESSWAY,2022-02-04T17:30:00,,,,0,0,0,0,1,0,1,0,,JUNCTION BOULEVARD,4501032,Taxi,,,,,
,Illnes,Unspecified,,,,,2022-02-15T13:25:00,,,,0,0,0,0,0,0,0,0,,THROGS NECK BRIDGE,4503489,Sedan,Sedan,,,,
,Other Vehicular,Other Vehicular,,,,PELHAM PARKWAY NORTH,2019-11-26T17:32:00,,,,0,0,1,0,0,0,1,0,,BOSTON ROAD                     ,4248261,Sedan,Sedan,,,,
,Driver Inattention/Distraction,Unspecified,,,,,2019-12-06T22:00:00,,,,0,0,0,0,0,0,0,0,,MAJOR DEEGAN EXPRESSWAY RAMP    ,4258724,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,Driver Inattention/Distraction,Driver Inexperience,,,,,2019-11-23T00:00:00,,,,0,0,0,0,0,0,0,0,,HENRY HUDSON PARKWAY RAMP       ,4247104,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,Following Too Closely,Unspecified,,,,,2019-11-26T11:10:00,,,,0,0,3,0,0,0,3,0,,GOWANUS RAMP                    ,4248133,Van,Sedan,,,,
,Pavement Slippery,,,,,,2019-11-18T05:45:00,,,,0,0,1,0,0,0,1,0,,NASSAU EXPRESSWAY               ,4242864,Pick-up Truck,,,,,
,Unspecified,,,,,MAJOR DEEGAN EXPRESSWAY,2019-12-10T18:45:00,,,,0,0,0,0,0,0,0,0,,WEST 161 STREET                 ,4261248,Sedan,,,,,
,Reaction to Uninvolved Vehicle,Unspecified,,,,JAMACIA AVENUE,2019-10-31T08:31:00,,,,0,0,0,0,0,0,0,0,,JACKIE ROBINSON PARKWAY         ,4232850,Sedan,Pick-up Truck,,,,
,Unsafe Lane Changing,Unspecified,,,,,2019-11-03T21:31:00,,,,0,0,0,0,0,0,0,0,,THROGS NECK EXPY                ,4234543,Sedan,Station Wagon/Sport Utility Vehicle,,,,
